Identifier,Woreda,Kebele,Parish,School Name,Latitude,Longitude,School Type,Total number of Boys enrolled in the school,Total number of Girls enrolled in the school,What is the total enrolment in the school?,What is the regular number of staff in the school?,Drinking Water,Is there an improved water source that serves the school?,What is the type of improved water source?,What year was the water facility constructed?,Who funded the construction of the water point?,Sanitation,Does the school have any sanitation facilities?,What type of sanitation facilities are present?,"In total, how many functioning stances are for females?","IN total, how many functioning stances are for Males?",Is there a sanitation facility accessible to students with disabilities?,In what year was the latest (MOST RECENT) sanitation facility constructed?,"Condition of the superstructure, roof, walls, and doors",Condition are the floor/slabs/platform,Latrines/cesspits last emptied?,Who paid for the emptying service?,Hygiene,Is there a place for handwashing?,Is there water available at the handwashing station?,Is there soap at hand washing station?,Are there any abandoned or not in use sanitation facilities on the plot that pose a risk or threat to the safety of children?,Do community members not attending the school ever come to use the sanitation facilities?
e98u-gknt-tq63,,,,paicam ayee primary school,,,,115,122,237,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,1,1,No,2020,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
8wh2-jjpg-m634,,,,Amyel primary school,,,,640,461,1101,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,Ecosan toilet (UDDT),4,3,Yes,2008,Good and well-raised wall with roof and door,Medium - some minor cracks,More than 3 years ago,2:School,Basic,Yes,Yes,Yes,YES - open pits with feces and contents exposed,Often
7875-gd39-jfjg,,,,Langolangola P/S,,,,372,425,797,6,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,3,Yes,2013,"Poor - short wall, poor or no door",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Rarely
n9ng-dshn-63vt,,,,Omatowee,,,,216,268,484,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,6,4,Yes,2018,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Never
r570-mcst-411v,,,,Ajali Atede Primary School,,,,322,377,699,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,2,2,No,2013,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never emptied,,Limited,Yes,Yes,No,YES- collapsed or partially collapsed latrines,Often
0wbw-hn4w-bjjd,,,,Alwee primary school,,,,489,488,977,11,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2016,Good and well-raised wall with roof and door,Good - No cracks or gaps,Unknown,,No Service,No,No,No,YES- collapsed or partially collapsed latrines,Rarely
hfhc-fumj-u1u2,,,,Abilnino primary school,,,,378,358,736,7,No service,No-school does not have access to an improved water source,,,,Limited,Yes,VIP latrine,5,3,Yes,2018,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Often
r570-mcst-411v,,,,Ajali Atede Primary School,,,,322,377,699,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,2,2,No,2013,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never emptied,,Limited,Yes,Yes,No,YES- collapsed or partially collapsed latrines,Often
ahwj-v2pr-mrm2,,,,St James nuserery and primary,,,,184,176,360,14,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,4,4,Yes,201,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
k314-pe95-32dn,,,,lamiyo primary school,,,,405,406,811,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,2:VIP latrine,5,5,1:Yes,2020,Good and well-raised wall with roof and door,Medium - some minor cracks,Less that 1 year ago,School,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Never
vdeg-6y7d-fk25,,,,Awelo Primary school,,,,496,524,1020,8,No Service,No-school does not have access to an improved water source,,,,Basic,Yes,3:Pour Flush toilet,7,7,1:Yes,2008,Good and well-raised wall with roof and door,Good - No cracks or gaps,1 to 3 years ago,School,Limited,Yes,Yes,No,YES - construction materials pose a risk,Often
t7ku-0ddy-5scw,,,,Lokapel P/S,,,,305,358,663,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,2:VIP latrine,6,6,1:Yes,2014,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
uymh-tc12-0qq3,,,,Opyelo,,,,507,523,1030,10,No service,No-school does not have access to an improved water source,,,,No Service,Yes,1:Traditional pit latrine,5,5,1:Yes,0,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,YES - open pits with feces and contents exposed,Never
rg2r-6u6e-uyme,,,,Ajali Lajwa P/S,,,,555,520,1075,13,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,1:Traditional pit latrine,4,4,2:No,2019,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Sometimes
41r9-459x-f095,,,,Kokil P/S,,,,350,371,701,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,2:VIP latrine,5,5,1:Yes,2014,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
vuy7-4a65-xm4d,,,,Ladere P/S,,,,342,308,650,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,1:Traditional pit latrine,2,2,1:Yes,2018,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Often
vetj-cuup-qwsn,,,,Ajwa primary school,,,,321,304,625,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,1:Traditional pit latrine,2,3,1:Yes,2007,"Poor - short wall, poor or no door",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Often
3tsa-pq1p-v211,,,,Kamonojwi P/S,,,,332,318,650,7,No service,No-school does not have access to an improved water source,,,,No Service,Yes,1:Traditional pit latrine,2,2,2:No,2013,"Poor - short wall, poor or no door",Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Rarely
r9mh-tx3g-0du1,,,,Barotiba,,,,366,323,689,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,1:Traditional pit latrine,5,5,2:No,0,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
ft8x-4sax-k4ev,,,,Okwadoko P/s,,,,291,322,613,9,Limited,Yes-school shares with a community improved water source,Tapstand,,,Basic,Yes,2:VIP latrine,5,5,2:No,2019,"Poor - short wall, poor or no door",Medium - some minor cracks,Never emptied,,No Service,No,Yes,No,YES- collapsed or partially collapsed latrines,Often
fqc3-pfnq-hh5m,,,,Locum P/S,,,,303,198,501,6,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,2:VIP latrine,5,5,2:No,2017,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
7hw7-m2r2-1w70,,,,Widwol P/S,,,,297,180,477,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,6,1:Yes,2015,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Rarely
04qm-43e4-djc2,,,,Lacek primary school,,,,313,316,629,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,5,1:Yes,2010,Good and well-raised wall with roof and door,Medium - some minor cracks,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Sometimes
cnsc-4ae3-y534,,,,Kazikazi primary school,,,,279,231,510,6,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,4,4,1:Yes,2013,"Medium - walls are decent, semi permanent door and roof",Good - No cracks or gaps,Never empited,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Never
bq8g-c01v-es9r,,,,Wol P/s,,,,476,430,906,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,2:No,2007,"Poor - short wall, poor or no door",Good - No cracks or gaps,Never empited,,No Service,No,Yes,Yes,YES- collapsed or partially collapsed latrines,Sometimes
0jnd-mmcr-p62a,,,,Pakor Dungu P/S,,,,217,202,419,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,1:Yes,2015,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never empited,,Limited,Yes,Yes,No,NONE- no observable risk from out-of-service facilities,Rarely
2s82-v42d-r86e,,,,Ngora p/s,,,,389,431,820,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,Ecosan toilet (UDDT),5,5,1:Yes,2020,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never empited,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
v84b-3x94-83hs,,,,Wol secondary school.,,,,148,124,272,31,Basic,Yes-school has its own improved water sources,Deep Borehole,2013,NGO,Basic,Yes,VIP latrine,5,5,2:No,2014,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never empited,,No Service,No,No,No,NONE- no observable risk from out-of-service facilities,Sometimes
44dg-34bc-4snh,,,,odom primary school,,,,223,187,410,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,2,1,1:Yes,2014,Good and well-raised wall with roof and door,Medium - some minor cracks,Never empited,,Limited,Yes,Yes,No,YES- collapsed or partially collapsed latrines,Often
c7jr-cf97-5xd0,,,,Patongo Seed SS,,,,296,140,436,25,Basic,Yes-school has its own improved water sources,Deep Borehole,2017,Government,No Service,Yes,Traditional pit latrine,4,3,2:No,2015,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
vkwx-enfs-ek28,,,,Patongo SS,,,,285,112,397,16,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,10,2:No,2017,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Rarely
1b5s-e53t-6ycb,,,,pakor primary school,,,,351,319,670,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,1:Yes,2016,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
je5y-njbu-20ym,,,,Ajali Anyena P/S,,,,520,460,980,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,3,4,1:Yes,2016,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
a69p-cdgx-2de2,,,,lacek oto primary school,,,,419,379,798,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,7,8,2:No,2011,Good and well-raised wall with roof and door,Medium - some minor cracks,Unknown,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Often
eswc-65jj-vjdx,,,,karumu primary school,,,,225,197,422,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2018,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Sometimes
w1xb-7sqr-8bbt,,,,Namabili P .7,,,,450,240,690,7,Basic,Yes-school has its own improved water sources,Deep Borehole,2009,Government,Basic,Yes,VIP latrine,8,5,Yes,2017,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
ng9c-hed5-fh79,,,,Wol Kico P/s,,,,384,478,862,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,4,2,No,2017,"Poor - short wall, poor or no door",Medium - some minor cracks,,,No Service,No,No,No,YES- collapsed or partially collapsed latrines,Often
jg05-ggfv-9tf4,,,,AU Vision Nursery and Primary school,,,,109,68,177,5,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,1,2,No,2019,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
0a1u-yjdt-39cm,,,,Kalongo technical institute,,,,270,45,315,47,Basic,Yes-school has its own improved water sources,Tapstand,2017,Government,Basic,Yes,Pour Flush toilet,8,8,Yes,2017,Good and well-raised wall with roof and door,Good - No cracks or gaps,Less that 1 year ago,School,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
58ye-nbrn-13u6,,,,Okweny primary school,,,,318,292,610,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,2,3,No,2009,"Medium - walls are decent, semi permanent door and roof",Bad - dangerous to stand on,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Often
k2j4-gmvh-3y58,,,,Wimunu pecek primary school,,,,470,406,876,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,3,2,No,2018,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,No Service,No,No,No,YES - construction materials pose a risk,Sometimes
3c50-rrfd-dhgq,,,,Kabala Aleda P/S,,,,348,320,568,6,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,2,2,No,2018,"Poor - short wall, poor or no door",Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Never
q9x2-em39-4jj9,,,,Ogole p/s,,,,388,440,828,10,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,1,2,No,2015,"Poor - short wall, poor or no door",Medium - some minor cracks,,,No Service,No,No,No,YES- collapsed or partially collapsed latrines,Never
4w0y-d7g1-ajap,,,,Kilokoitio Primary school,,,,322,201,523,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,2,2,No,2013,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,No Service,No,No,No,YES - open pits with feces and contents exposed,Never
mx3a-08bg-4j7x,,,,Kabala P/S,,,,443,401,844,8,Limited,Yes-school shares with a community improved water source,Tapstand,,,Basic,Yes,VIP latrine,10,10,Yes,2010,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
hahj-4n7f-ns6x,,,,Cigaciga p 7,,,,598,612,1210,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,,,Yes,2015,Good and well-raised wall with roof and door,Good - No cracks or gaps,More than 3 years ago,2:School,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
xd95-6qym-aaxv,,,,Omot primary school,,,,272,278,550,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,10,No,2012,"Medium - walls are decent, semi permanent door and roof",Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
qkeh-ukam-2q2r,,,,MOODEGE PRIMARY SCHOOL,,,,228,285,513,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,Ecosan toilet (UDDT),4,4,No,2014,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Sometimes
5fwp-c0f0-2dhr,,,,Omot seed,,,,206,68,274,16,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2019,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,No Service,No,No,No,NONE- no observable risk from out-of-service facilities,Never
a1rk-fqwb-h6gx,,,,Ladigo P/S,,,,381,271,552,8,Basic,Yes-school has its own improved water sources,Deep Borehole,2007,NGO,Basic,Yes,VIP latrine,5,5,Yes,2020,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Sometimes
375h-0adw-d0s6,,,,Patongo P/S,,,,522,504,1026,14,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,5,Yes,2015,"Medium - walls are decent, semi permanent door and roof",Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Rarely
