Woreda,Kebele,Village,Latitude,Longitude,No. of HHs,Number of Latrines,Date Triggered,ODF Status,,Open Defecation Free
Arsi Negele,Sayyoo majaa,Sayyoo,7.2685442,38.7088157,,,,,,
Shashemene,Turufe Wotara Elemo,Elemoo B1,7.1311303,38.7095101,,,,,,
Shashemene,Turufe Wotara Elemo,Abiyu 03,7.168302,38.625375,,,,,,
Shashemene,w/shagulle,Wotara Gamaa,7.1268793,38.7251075,,,,,,
Shashemene,Turufe Wotara Elemo,Elemoo B3,7.1365521,38.7149043,,,,,,
Shashemene,Turufe Wotara Elemo,Abiyu 01,7.310437,38.5291437,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Arsi Negele,Raafuu Hargiisaa,Roggee,7.2161517,38.5346493,,,,,,
Shashemene,Turufe Wotara Elemo,Elemoo B2,7.130195,38.7856827,,,,,,
Shashemene,w/shagulle,shagulle,7.4863761,38.7266007,,,,,,
Shashemene,J/Wandare,jangela,7.1157866,38.7363525,,,,,,
Shashemene,J/Wandare,jangela,7.1168816,38.7535854,,,,,,
Arsi Negele,M akkoo Odaa,Ashaalle,7.1067555,38.7635521,,,,,,
Shashemene,H /sinboo,Ilituu,7.1372104,38.7115349,,,,,,
Arsi Negele,Maraaroo Hawulo,Maraaroo hawulo,7.1639578,38.8390848,,,,,,
Arsi Negele,Qaraaruu,Qaraaruu,7.3602233,38.7241506,,,,,,
Arsi Negele,Maraaroo Hawulo,Maraaroo hawulo,7.2387069,38.5963579,,,,,,
Shashemene,w/shagulle,shagulle,7.1372104,38.7115349,,,,,,
Shashemene,J/Wandare,wadare,7.1372104,38.7115349,,,,,,
Arsi Negele,Qaraaruu,Qaraaruu,7.1372104,38.7115349,,,,,,
Arsi Negele,Qaraaruu,Karaa badaa,7.0991554,38.6592174,,,,,,
Shashemene,J/Wandare,jangela,7.1067555,38.7635521,,,,,,
Shashemene,H /sinboo,Huresa,7.1186974,38.7491198,,,,,,
Arsi Negele,Qaraaruu,Qaraaruu,7.1372104,38.7115349,,,,,,
Shashemene,Q/borjota,Borjota,7.1032219,38.6537177,,,,,,
Shashemene,H /sinboo,Huresa,7.5035027,38.6540077,,,,,,
Shashemene,H /sinboo,sinbo,7.2128057,38.7257987,,,,,,
