Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
0b5e-yqm0-sceh,02-01-2015 05:29:01 UTC,Ataba tee kworo,Agago,Agengo,Tori,Ataba,2.79040905,33.2010281,27205,2008,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,It was never broken down,8-16 hours,1-3 minutes,Very poor,Fair (moderate),,,very poor,Fair (moderate),Poor,,,,,,,,,,,,no observable problem,Handle,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Never,Rarely,the problem is only the colour that changes especially in the morning,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,8,5,3,1,Unknown,No,Yes,Yes,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,2000,,,85,Yes
5e5s-avd5-ufb8,02-01-2015 05:51:06 UTC,Tangi tee cwaa,Agago,Agengo,Tori,Tori West,2.80272756,33.2071084,52341,2008,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Good,Good,,,fair,Good,Good,,,,,,,,,,,,no observable problem,NONE,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,the water quality is ok,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Unknown,9,5,4,1,Unknown,No,Yes,Yes,No,Unknown,,Unknown,Yes,,Fixed tariff per month,,1000,,,50,Yes
f3e4-prav-pdua,02-01-2015 06:07:13 UTC,Tori parents P/S,Agago,Agengo,Tori,Tori East,2.80549308,33.2111268,46361,2014,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Poor,Very poor,,,very poor,Good,Good,,,,,,,,,,,,The pedestal needs repair,Pedestal,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,the water quality is ok,,no management,,No,No management,,,,,,,,,,,,,Unknown,,,No,,,,,,,,
pkcv-6qsu-48w1,02-01-2015 06:42:41 UTC,Tori East tee muyembe,Agago,Agengo,Tori,Tori East,2.80916106,33.2078601,,2014,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,very poor,Good,Good,,,,,,,,,,,,no observable problem,Drainage channel,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,the water quality is ok,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,6,4,1,Unknown,No,Yes,Yes,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,1000,,,90,Yes
qtk9-16gf-8770,02-01-2015 06:55:28 UTC,kaka mi ngo,Agago,Agengo,Agengo,Kaka Mii ngo,2.81358458,33.2016594,33022,2011,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Non-functional,,connecting rode and the chains,more than one year,More than 3 weeks total,,,Very poor,Good,,,very poor,Good,Good,,,,,,,,,,,,no any observable problem,Drainage channel,,,,,,,,,,Animal excreta nearby,,,,,,,,,,no management since it has taken long without use,,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
rad1-1v3f-2ucc,18-03-2021 07:52:06 UTC,Ajalia Secondary School Borehole,Agago,Kotomol,Lukee,Odokomit West,2.63968,33.273365,,2011,Government,more than 100,Washing cars/ motorcycles,,Rarely,No,Deep borehole,,,,,,,,0,0,Handpump,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,1-3 minutes,Poor,Fair (moderate),,,poor,Fair (moderate),Good,,,,,,,,,,,,Nuts from some parts are missing and Apron needs to be extended and the drainage passage is very short,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Always - problems with odour,Sometimes,Salty in the Morning and the first drops in the morning has a changed colour,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,8,8,2,1,Yes,,,Yes,No,Unknown,,No,Users contribute fees only when repair is needed,1000,,,,,,,
w9g6-t4u9-gkyb,18-03-2021 08:03:25 UTC,school water,Agago,Kotomol,Lukee,Odokomit East,2.63691035,33.2742979,,2005,NGO,50-100,Drinking water,,Never,No,Deep borehole,,,,,,,,9,9,Handpump,,GI,Functional in use,Fully functioning at 100%,,,Unknown,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,the apron needs repair,Apron,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,There is no corncern,,Chairperson,,Yes,WUC/ WSC,Yes,,Yes,3,2,2,2,Yes,,,Yes,No,During construction of the water source,,No,Users contribute fees only when repair is needed,1000,,,,,,,
x6k9-cgtw-jt4q,18-03-2021 09:52:39 UTC,Tee Yaa,Agago,Lokole,Olung,Kweyo North,2.93601668,33.3687167,2007,2007,NGO,more than 100,Water for other household and domestic use,,Rarely,Yes,Deep borehole,,,,,,,,36,2,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,more than 16 hours,1-3 minutes,Fair (moderate),Good,,,Fairly Good,Good,Good,,,,,,,,,,,,low water table,NONE,,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Sometimes,Never,Rarely,No,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,6,3,2,2,No,,,Yes,No,During construction of the water source,,No,No,,,,,,,,
va38-stsc-deyp,18-03-2021 08:29:28 UTC,wang Ogwang Benzamin,Agago,Kotomol,Lukee,Odokomit West,2.64101,33.2656,,2009,Government,50-100,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,It was never broken down,more than 8,more than 3 minutes,,,Fair (moderate),Active all are in use,poor,,,Good,,,,,,,,,,,The spout has sone cracks and the wall is wearing out,,,Catchment protection or fence,,,,,,,,,Clothes washing in the catchment,,,Rainfall,Always - problems with colour,Sometimes,Sometimes,During rainy season the water fills the whole wall and the pipe is filled,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,7,7,2,1,No,,,No,No,Never,,No,No,,,,,,,,
hbtc-jkc9-3t2k,18-03-2021 08:38:28 UTC,Wang ongwang,Agago,Kotomol,Lukee,Odokomit East,2.64157151,33.2716604,,2006,NGO,more than 100,Drinking water,,Never,Yes,Deep borehole,,,,,,,,6,6,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,1-3 minutes,Good,Good,,,Fair,Fair (moderate),Very poor,,,,,,,,,,,,the pump handle is almost breaking,Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,Miss use and some times stealing of somebparts of the borehole....and most contamination by animals. thus we need a help of fencing the borehole area,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,5,5,4,4,Yes,,,Yes,No,1 to 5 years ago,,Yes,Users contribute fees only when repair is needed,1000,,,,,,,
bgpw-eb3q-v3b5,18-03-2021 09:49:15 UTC,Akwang primary school,Agago,Lai Mutto TC,Akwang Ward,Akwang,3.10118614,33.4335511,24975,2006,Government,50-100,Drinking water,,Never,Yes,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,1-3 minutes,Good,Good,,,fair,Good,Good,,,,,,,,,,,,worn out pump,NONE,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,poor sanitation around the water points,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,9,2,1,No,Yes,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,80,Yes
yu7r-qpkc-v7ef,18-03-2021 08:59:34 UTC,Odokomit East Borehole,Agago,Kotomol,Lukee,Odokomit East,2.64199333,33.2734683,21583,2010,Government,,,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,I don't know,Non-functional,,"pipe Broken, chains has problems",6 to 10 days,Unknown,,,Poor,Fair (moderate),,,poor,Fair (moderate),Excellent,,,,,,,,,,,,"pipe is torn, chains has problems, other nuts are not fitting",Pedestal,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,0,No,,,Yes,No,,,No,,,,,,,,,
snj9-k1a8-x39t,18-03-2021 08:57:26 UTC,kongtam bh,Agago,Lapono,Kaket,Layugi,2.99310558,33.4270609,,2006,NGO,,,,Never,No,Deep borehole,,,,,,,,36,2,Handpump,,GI,Non-functional,,pipe drop in water,more than one year,It was never broken down,,,Poor,Good,,,block,Very poor,Very poor,,,,,,,,,,,,busy environment,Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,0,4,2,No,,,No,No,,,No,,,,,,,,,
sys0-1qey-nmvf,18-03-2021 09:58:26 UTC,Tangi mony,Agago,Lokole,Olung,Lwala East,2.92704977,33.3665247,,1971,Government,50-100,Drinking water,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 16 hours,more than 3 minutes,Fair (moderate),Good,,,poor,Good,Fair (moderate),,,,,,,,,,,,less pipes reducing the quantity in dupply,,Cylinder head,,,,,,,,,,,,,Rain water,Sometimes,Never,Rarely,"Takes long to come, Hard to pump",Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,11,8,4,1,No,,,Yes,No,Never,,No,Users contribute fees only when repair is needed,8000,,,,,,,
ht93-ptdp-2yt7,18-03-2021 09:27:10 UTC,katurukuk,Agago,Paimol,Taa,Katurukuk,3.09825418,33.4435506,25681,2oo9,NGO,more than 100,Drinking water,,Never,Yes,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,poor,Fair (moderate),Good,,,,,,,,,,,,pump head nuts and apron nuts,Drainage channel,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,poor drainage and soak pit,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,4,2,1,No,Yes,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,70,No
axvj-yvgx-tgq8,18-03-2021 09:17:36 UTC,kongitem,Agago,Lapono,Ongalo,Kongitem,2.99093647,33.4257172,,2007,NGO,more than 100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,33,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,more than 8,1-3 minutes,Poor,Good,,,broken,Poor,Good,,,,,,,,,,,,chain need to be greased,NONE,,,,,,,,,,Rubbish nearby,,,No concern- water is clean,,Never,Never,Rarely,children playing around,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,Yes,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,70,Yes
3a6b-s3ca-ycxs,18-03-2021 09:27:04 UTC,Tange aluma,Agago,Lapono,Kaket,Alumar,2.98508336,33.5593939,,2011,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,51,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,more than 3 minutes,Fair (moderate),Good,,,clean,Fair (moderate),Good,,,,,,,,,,,,water point had 17 pipes but it has been reduced to 9 due to shortage of fund,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,these water served both community and the Barack and the estimated household is more than 70,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,5,2,No,Yes,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,2000,,,65,Yes
dcpt-7g4h-kke5,18-03-2021 09:31:14 UTC,kulu iyee maka tong,Agago,Kotomol,Lukee,Odokomit East,2.61945819,33.2878451,48655,2014,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,9,9,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,more than 3 minutes,Fair (moderate),Fair (moderate),,,dug and covered,Good,Poor,,,,,,,,,,,,no any other problem observed,NONE,,,,,,,,,,NONE-No contamination risk observed,,,,only tree leaves that always fall down,Always - problems with colour,Always - problems with odour,Always - Problems with Taste,"no other problem..only the taste ,and colour are the major problems",Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,6,6,2,2,Yes,,,Yes,No,Never,,Unknown,Users contribute fees only when repair is needed,1000,,,,,,,
pu5q-f59w-6w2m,18-03-2021 09:37:28 UTC,Eyer makatong Borehole,Agago,Kotomol,Lukee,Eyer Makatong,2.63409,33.289885,,2018,Religious institutions,less than 25,Drinking water,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,I don't know,Functional in use,Fully functioning at 100%,,,Unknown,more than 8,1-3 minutes,Very poor,Por,,,very poor,Poor,Fair (moderate),,,,,,,,,,,,pedestal needs to be changed,Pedestal,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Sometimes,"Pipes are too many, should be drilled deeply apron and drainage channel should be constructed",Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,2,1,1,No,,,No,No,Never,,No,No,,,,,,,,
