Identifier,District,Municipality/Union,Ward Number,Latitude,Longitude,Name of Household,"What is the total number of household members, including yourself?",Water Service Level,Main source of drinking water,Main source of water for other purposes,Specific Location of Water Collection,Time to Collect Water,Times in Last Month When Drinking Water Quantity Was Insufficient,Fecal and Chemical Levels Acceptable,Sanitation Service Level,Type of Toilet Facility,Facility is shared with others outside of the household,Location of sanitation facility,Emptying of on-site sanitation facilities,Disposal of excreta from onite sanitation facilities,Hygiene Service Ladder,Type of Handwashing Facility Used Most Often,Water Available at Handwashing Facility,Soap Available
csem-7nfq-3es3,Barguna,Paurashava,1,22.1476441,90.22608838,,4,Basic,Public tap/standpipe,,In own yard / plot,,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
qc6v-fdtj-ugjn,Barguna,Patharghata Municipality,9,22.04948975,89.97750217,,5,Basic,Piped water into dwelling (household connection),,,,Not Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to pit latrine,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
y6jf-s8y5-c4t1,Barguna,Patharghata Municipality,9,22.04908141,89.97865314,,5,Basic,Piped water into dwelling (household connection),,,,Not Sufficient,Contaminated,Limited,Pit latrine with slab,Yes,In own dwelling,Yes,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
3dq8-jcyq-gx1m,Barguna,Paurashava,1,22.14641418,90.22514147,,4,Basic,Public tap/standpipe,,Elsewhere,Less than 30 minutes,Not Sufficient,Contaminated,Basic,Toilet that flush/pour to pit latrine,No,In own dwelling,Yes,,Limited,Fixed facility observed in plot/yard,Water is not available,Soap Available
dxhu-7ath-jfaa,Barguna,Patharghata Municipality,1,22.04089143,89.97212981,,6,Basic,Rainwater collection,,In own dwelling,,Sufficient,Contaminated,Basic,Toilet that flush/pour to septic tank,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
fgqg-w6mb-j0yx,Barguna,Paurashava,1,22.14627368,90.22530293,,10,Basic,Public tap/standpipe,,In own yard / plot,,Sufficient,Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own dwelling,,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
x6x2-xsfa-em6p,Barguna,Patharghata Municipality,9,22.04989866,89.97929127,,4,Surface Water,"Surface water (river, pond, canal)",,In own yard / plot,,Not Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to pit latrine,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
a1vy-4dex-3kap,Barguna,Paurashava,1,22.14573504,90.22565698,,6,Basic,Public tap/standpipe,,In own dwelling,,Not Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
u7ym-9e0b-35fn,Barguna,Patharghata Municipality,1,22.0415947,89.9728542,,5,Basic,Rainwater collection,,In own dwelling,,Don't Know,Contaminated,Basic,Toilet that flush/pour to pit latrine,No,Elsewhere,Don't Know,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
qfmb-6719-y013,Barguna,Patharghata Municipality,9,22.04955943,89.9791241,,4,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
s6uu-4m2u-vt3x,Barguna,Paurashava,2,22.1425823,90.23882949,,8,Basic,Public tap/standpipe,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
w792-2whf-q2bv,Barguna,Patharghata Municipality,9,22.05041574,89.98128221,,4,Basic,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
pbke-2nwb-k6ak,Barguna,Paurashava,2,22.14314849,90.23837017,,5,Basic,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Not Sufficient,Not Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own dwelling,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
0nkr-84j3-7ty0,Barguna,Paurashava,1,22.14437223,90.22513726,,6,Basic,Public tap/standpipe,,Elsewhere,Less than 500 meters,Not Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,Yes,Elsewhere,,,Limited,"Mobile object observed (bucket, jug, kettle)",Water is not available,Soap is not available
jahb-rstp-uh32,Barguna,Patharghata Municipality,9,22.05213147,89.98301826,,4,Limited,Piped water to yard/plot,,More than 500 meters/1600 feet,More than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Limited,Fixed facility observed in dwelling,Water is not available,Soap Available
2ehf-mmpg-uxeg,Barguna,Paurashava,1,22.14603792,90.22623192,,4,Limited,Public tap/standpipe,,Elsewhere,More than 500 meters,Not Sufficient,Contaminated,Basic,Toilet that flush/pour to pit latrine,No,In own dwelling,Yes,,Limited,"Mobile object observed (bucket, jug, kettle)",Water is not available,Soap Available
xaxm-8mah-898t,Barguna,Patharghata Municipality,1,22.04220159,89.97306354,,5,Basic,Piped water into dwelling (household connection),,,,Sufficient,Contaminated,Open Defecation,Open Defecation,,,,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
6ux4-n4vp-y1vf,Barguna,Patharghata Municipality,1,22.04137871,89.97272442,,7,Basic,Rainwater collection,,In own yard / plot,,Don't Know,Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own dwelling,,,Limited,Fixed facility observed in dwelling,Water is available,Soap is not available
gy44-54ef-8nws,Barguna,Patharghata Municipality,1,22.04062892,89.97185325,,5,Basic,Pond sand filter (PSF),,,,Sufficient,Contaminated,Basic,Toilet that flush/pour to pit latrine,No,Elsewhere,Don't Know,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
39qt-cheg-euat,Barguna,Paurashava,2,22.14249817,90.23771403,,4,Safely Managed,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Toilet that flush/pour to elsewhere,No,In own dwelling,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
y4tg-a45f-wfyr,Barguna,Paurashava,2,22.14383482,90.2374863,,6,Basic,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own dwelling,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
dpuf-ums9-9ra0,Barguna,Patharghata Municipality,1,22.04277028,89.97302613,,5,Basic,Piped water into dwelling (household connection),,,,Not Sufficient,Contaminated,Basic,Pit latrine with slab,No,Elsewhere,,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
n5ac-bujy-ggtt,Barguna,Paurashava,1,22.14642357,90.22756911,,4,Basic,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
0r67-73yk-8n32,Barguna,Barguna Municipality,3,22.15806961,90.13820694,,3,Basic,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Not Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,Limited,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap is not available
xjby-p9mq-n14d,Barguna,Barguna Municipality,3,22.15415731,90.13857901,,5,Safely Managed,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
5pjr-3f25-jd1p,Barguna,Barguna Municipality,3,22.15208455,90.13910347,,3,Basic,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
qhcw-2r5m-dn7e,Barguna,Barguna Municipality,3,22.15464019,90.13533765,,4,Basic,Public tap/standpipe,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
syj5-bcy1-gx7g,Barguna,Barguna Municipality,3,22.15562331,90.1339693,,6,Basic,Public tap/standpipe,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
2f02-3be1-nb91,Barguna,Barguna Municipality,3,22.15530588,90.1348126,,2,Basic,Public tap/standpipe,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Contaminated,Basic,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
30vh-e6bp-h122,Barguna,Barguna Municipality,3,22.15331535,90.13839201,,4,Basic,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,Yes,,Limited,Fixed facility observed in dwelling,Water is available,Soap is not available
n26f-g70g-45rm,Barguna,Barguna Municipality,3,22.15703105,90.13646199,,4,Basic,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Basic,Toilet that flush/pour to septic tank,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
k45j-cwwh-85ns,Barguna,Betagi Municipality,3,22.1541519,90.1363977,,6,Safely Managed,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Toilet that flush/pour to elsewhere,No,In own dwelling,,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
w5dv-dmqa-y7su,Barguna,Barguna Municipality,3,22.1573532,90.13652109,,5,Basic,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Basic,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
3cxc-6r9a-b413,Barguna,Barguna Municipality,3,22.15736519,90.13790854,,7,Basic,Public tap/standpipe,,Elsewhere,Less than 500 meters,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own plot/yard,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
08q2-54xb-0dn8,Barguna,Paurashava,2,22.14291544,90.23622194,,5,Safely Managed,Public tap/standpipe,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Basic,Toilet that flush/pour to flush piped sewer system,No,In own dwelling,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
qxt8-ew3g-537m,Barguna,Patharghata Municipality,1,22.04233195,89.97395499,,5,Basic,Piped water into dwelling (household connection),,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Basic,Twinpit offset latrine,No,In own plot/yard,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
t4uc-q5bb-30mr,Barguna,Patharghata Municipality,9,22.04887866,89.97695047,,5,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
ffs2-2wej-jf23,Barguna,Patharghata Municipality,1,22.04151027,89.9742594,,4,Safely Managed,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,Yes,In own plot/yard,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
mc05-0413-tnkp,Barguna,Paurashava,2,22.14307596,90.23556966,,5,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
feps-1wru-n4tc,Barguna,Paurashava,1,22.14590117,90.22818504,,4,Basic,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
mm7w-y3e5-ev6h,Barguna,Patharghata Municipality,9,22.04855798,89.97892384,,3,Safely Managed,Piped water to yard/plot,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
4a6b-rm0h-vkqb,Barguna,Patharghata Municipality,1,22.04166327,89.97451205,,3,Basic,Rainwater collection,,Don't know,Less than 30 minutes,Don't Know,Not Contaminated,Basic,Twinpit offset latrine,No,In own dwelling,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
cjav-9kvt-n4d8,Barguna,Fuljhuri Union,4,22.22132107,90.12172308,,3,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
512e-7dp5-r90p,Barguna,Patharghata Municipality,9,22.04837005,89.97935351,,3,Unimproved,Cart with small tank/drum,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
m9yy-s94g-heed,Barguna,Barguna Municipality,3,22.16037266,90.14803983,,11,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
9w8k-ukp0-vxfx,Barguna,Patharghata Municipality,1,22.04180717,89.9753099,,5,Limited,Public tap/standpipe,,Don't know,More than 30 minutes,Don't Know,Contaminated,Basic,Twinpit offset latrine,No,In own plot/yard,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
083a-vksk-tmny,Barguna,Paurashava,1,22.14749024,90.22831956,,7,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
9khc-heex-9rng,Barguna,Paurashava,2,22.14266315,90.23528143,,11,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
4fx8-j6c8-qsv0,Barguna,Barguna Municipality,3,22.15966129,90.14760649,,8,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
86hy-frub-q8q9,Barguna,Patharghata Municipality,9,22.04827499,89.97976557,,6,Unimproved,Cart with small tank/drum,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
jrgp-w911-e27g,Barguna,Patharghata Municipality,1,22.0421284,89.97580981,,12,Safely Managed,Rainwater collection,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Basic,Twinpit offset latrine,No,In own dwelling,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
9t4p-dvc5-b50n,Barguna,Paurashava,2,22.1432122,90.23463355,,5,Basic,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
wfkr-bpk0-v34c,Barguna,Paurashava,1,22.14643866,90.22837284,,3,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Ventilated Improved Pit latrine (VIP),No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
1d06-523s-4t0a,Barguna,Patharghata Municipality,1,22.04257617,89.97584395,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Don't Know,Contaminated,Basic,Twinpit offset latrine,No,In own plot/yard,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
55ek-qx77-4bkm,Barguna,Barguna Municipality,3,22.15840593,90.14691766,,5,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
6whk-u7v3-mrth,Barguna,Paurashava,2,22.14265376,90.2341777,,4,Safely Managed,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
4h18-2chv-g076,Barguna,Paurashava,1,22.1454656,90.22870322,,4,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
tqjr-5acr-yphe,Barguna,Barguna Municipality,3,22.15355356,90.14673754,,6,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Basic,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
27yg-d1k4-qrtn,Barguna,Patharghata Municipality,9,22.04913779,89.97954659,,4,Unimproved,Cart with small tank/drum,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
ar36-4fv8-ajqs,Barguna,Barguna Municipality,3,22.15180887,90.14656252,,4,Safely Managed,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
fm5m-4e8n-en0j,Barguna,Fuljhuri Union,4,22.21874258,90.12583664,,6,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
9xp3-0jga-hr9j,Barguna,Badarkhali Union,6,22.19852343,90.06009566,,3,Basic,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Not Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
4w47-f3u8-aug1,Barguna,Patharghata Municipality,9,22.04932932,89.98007684,,5,Basic,Rainwater collection,,Water is located within the premises,Water is located on the premises,Not Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
x9r8-sydn-t7qt,Barguna,Paurashava,2,22.14271374,90.23452175,,4,Basic,Deep tubewell/borehole,,Between 150 and 500 meters / between 500 and 1600 feet,Less than 30 minutes,Sufficient,Not Contaminated,Limited,Toilet that flush/pour to pit latrine,Yes,In own plot/yard,Yes,,Limited,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap is not available
cffk-w4u5-hn33,Barguna,Barguna Municipality,3,22.14801757,90.14788049,,7,Limited,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Limited,"Mobile object observed (bucket, jug, kettle)",Water is not available,Soap is not available
rruj-3cep-kfpj,Barguna,Barguna Municipality,3,22.16058309,90.14827729,,3,Limited,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
85ac-ynqw-3uqs,Barguna,Barguna Municipality,3,22.15068058,90.14639949,,6,Basic,Deep tubewell/borehole,,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Limited,Fixed facility observed in plot/yard,Water is available,Soap is not available
ejgm-y7s0-cqhe,Barguna,Barguna Municipality,3,22.15600481,90.14696997,,4,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Sufficient,Contaminated,Safely Managed,Pit latrine with slab,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
7qau-vaas-2skw,Barguna,Barguna Municipality,3,22.15744105,90.14692848,,4,Limited,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Twinpit offset latrine,No,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
ga4x-qf2x-p1f1,Barguna,Barguna Municipality,3,22.15951854,90.14711841,,4,Basic,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Not Sufficient,Contaminated,Unimproved,Toilet that flush/pour to elsewhere,No,In own plot/yard,,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
nb9y-1e6c-gqnd,Barguna,Barguna Municipality,3,22.15996844,90.14379649,,4,Limited,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
vrh2-4n1w-at9f,Barguna,Barguna Municipality,3,22.15989531,90.14506317,,4,Limited,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,No,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
0ak8-wf5f-p8p7,Barguna,Barguna Municipality,3,22.14829455,90.14662882,,4,Limited,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Pit latrine with slab,No,In own dwelling,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
dn81-065e-67mg,Barguna,Betagi Municipality,9,22.4031159,90.15984262,,4,Limited,Deep tubewell/borehole,,Less than 150 meters/500 feet,More than 30 minutes,Not Sufficient,Not Contaminated,Unimproved,Pit latrine without slab/open pit,No,In own dwelling,No,,Basic,"Mobile object observed (bucket, jug, kettle)",Water is available,Soap Available
rcn3-f0hd-3x27,Barguna,Patharghata Municipality,1,22.04282104,89.97590351,,5,Limited,Piped water into dwelling (household connection),,Water is located within the premises,Water is located on the premises,Don't Know,Not Contaminated,Basic,Twinpit offset latrine,No,In own dwelling,Don't Know,,No Facility,No handwashing place available in dwelling/plot/yard,,
eu9j-qkqb-07vt,Barguna,Barguna Municipality,3,22.14804816,90.1457219,,5,Limited,Deep tubewell/borehole,,Less than 150 meters/500 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
sagk-2p5g-5rbr,Barguna,Paurashava,1,22.14556252,90.22930459,,6,Limited,Deep tubewell/borehole,,More than 500 meters/1600 feet,Less than 30 minutes,Sufficient,Not Contaminated,Safely Managed,Twinpit offset latrine,No,In own dwelling,Yes,,No Facility,No handwashing place available in dwelling/plot/yard,,
